Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
3.99,88.67,45,Quận 4,8,3,1,4.5,1,0,04/01/2026,3
1.8,50,36,Quận 4,4,3,1,4,1,0,31/12/2025,3
3.15,70,45,Quận 4,15,3,1,4,3.5,0,30/12/2025,3
22,79.42,277,Quận 4,16,6,0,9,7,1,30/12/2025,6
3.8,171.17,22.2,Quận 4,13,1,0,3,2,1,30/12/2025,1
3,35.71,84,Quận 4,10,3,1,20,2,0,26/12/2025,3
8.3,207.5,40,Quận 4,4,4,1,5,5,0,24/12/2025,4
8.3,207.5,40,Quận 4,4,4,1,5,4,0,24/12/2025,4
5.2,81.25,64,Quận 4,1,4,0,8,4,1,22/12/2025,4
5.2,80,65,Quận 4,1,3,0,3,2,1,19/12/2025,3
7.86,93.57,84,Quận 4,18,3,0,6,1,1,17/12/2025,3
2.98,80.54,37,Quận 4,4,3,1,4.3,2,0,17/12/2025,3
6,75,80,Quận 4,4,3,1,5,1,0,12/12/2025,3
6,69.77,86,Quận 4,13,2,1,4.3,2,0,08/12/2025,2
7.6,84.44,90,Quận 4,1,2,0,18,1,1,24/11/2025,2
4.1,146.43,28,Quận 4,3,4,0,3.4,3,1,05/01/2026,4
4.44,63.43,70,Quận 4,13,4,1,4,3,0,05/01/2026,4
3.3,132,25,Quận 4,8,2,0,5,3,1,05/01/2026,2
129,602.8,214,Quận 4,13,5,1,8.6,4.5,0,05/01/2026,5
4.1,57.42,71.4,Quận 4,13,4,0,4.2,3,1,05/01/2026,4
110,500,220,Quận 4,13,3,1,10,4,0,05/01/2026,3
5.15,171.67,30,Quận 4,18,1,1,3.8,2,0,05/01/2026,1
3.5,116.67,30,Quận 4,8,2,0,3,2.5,1,05/01/2026,2
124,576.74,215,Quận 4,13,3,1,9,5,0,04/01/2026,3
3.26,46.57,70,Quận 4,13,4,0,5,6,1,04/01/2026,3
5.5,275,20,Quận 4,8,3,0,3.3,4,1,04/01/2026,3
5.7,196.55,29,Quận 4,3,4,0,3.14,3.5,1,04/01/2026,4
3.5,70,50,Quận 4,1,3,1,4,2,0,04/01/2026,3
5,125,40,Quận 4,8,4,0,3,3.5,1,04/01/2026,4
6.9,160.47,43,Quận 4,3,3,1,3.7,2.5,0,04/01/2026,3
16,290.91,55,Quận 4,13,3,1,4,4,0,04/01/2026,3
7.4,59.68,124,Quận 4,13,3,1,10,2,0,04/01/2026,3
110,511.63,215,Quận 4,13,3,1,8.6,4,0,04/01/2026,3
123,572.09,215,Quận 4,13,3,1,8.6,4.5,0,04/01/2026,3
5.5,272.28,20.2,Quận 4,8,5,0,3.3,4,1,04/01/2026,5
2.15,39.09,55,Quận 4,8,3,0,5,1,1,04/01/2026,3
680,1489.27,456.6,Quận 4,2,3,1,13,15,0,04/01/2026,3
5,98.04,51,Quận 4,13,4,0,4,2.5,1,04/01/2026,4
4.5,86.54,52,Quận 4,18,2,0,7.4,2.5,1,03/01/2026,2
7.6,95,80,Quận 4,2,3,1,5,4.5,0,03/01/2026,3
2.79,45,62,Quận 4,13,3,0,5,1,1,03/01/2026,3
5,127.23,39.3,Quận 4,13,3,1,3.3,3,0,03/01/2026,3
5.3,262.38,20.2,Quận 4,9,2,1,20,3.5,0,03/01/2026,2
