Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Segment
3.99,88.67,45.0,Quận 4,8,3.0,1,4.5,1.0,0,4/1/2026,3.0,Bình dân
1.8,50.0,36.0,Quận 4,4,3.0,1,4.0,1.0,0,31/12/2025,3.0,Bình dân
3.15,70.0,45.0,Quận 4,15,3.0,1,4.0,3.5,0,30/12/2025,3.0,Bình dân
22.0,79.42,277.0,Quận 4,16,6.0,0,9.0,7.0,1,30/12/2025,6.0,Bình dân
3.8,171.17,22.2,Quận 4,13,1.0,0,3.0,2.0,1,30/12/2025,1.0,Cao cấp
3.0,35.71,84.0,Quận 4,10,3.0,1,20.0,2.0,0,26/12/2025,3.0,Bình dân
8.3,207.5,40.0,Quận 4,4,4.0,1,5.0,5.0,0,24/12/2025,4.0,Bình dân
8.3,207.5,40.0,Quận 4,4,4.0,1,5.0,4.0,0,24/12/2025,4.0,Bình dân
5.2,81.25,64.0,Quận 4,1,4.0,0,8.0,4.0,1,22/12/2025,4.0,Bình dân
5.2,80.0,65.0,Quận 4,1,3.0,0,3.0,2.0,1,19/12/2025,3.0,Bình dân
7.86,93.57,84.0,Quận 4,18,3.0,0,6.0,1.0,1,17/12/2025,3.0,Trung cấp
2.98,80.54,37.0,Quận 4,4,3.0,1,4.3,2.0,0,17/12/2025,3.0,Bình dân
6.0,75.0,80.0,Quận 4,4,3.0,1,5.0,1.0,0,12/12/2025,3.0,Bình dân
6.0,69.77,86.0,Quận 4,13,2.0,1,4.3,2.0,0,8/12/2025,2.0,Bình dân
7.6,84.44,90.0,Quận 4,1,2.0,0,18.0,1.0,1,24/11/2025,2.0,Bình dân
4.1,146.43,28.0,Quận 4,3,4.0,0,3.4,3.0,1,5/1/2026,4.0,Cao cấp
4.44,63.43,70.0,Quận 4,13,4.0,1,4.0,3.0,0,5/1/2026,4.0,Bình dân
3.3,132.0,25.0,Quận 4,8,2.0,0,5.0,3.0,1,5/1/2026,2.0,Cao cấp
4.1,57.42,71.4,Quận 4,13,4.0,0,4.2,3.0,1,5/1/2026,4.0,Bình dân
5.15,171.67,30.0,Quận 4,18,1.0,1,3.8,2.0,0,5/1/2026,1.0,Bình dân
3.5,116.67,30.0,Quận 4,8,2.0,0,3.0,2.5,1,5/1/2026,2.0,Cao cấp
3.26,46.57,70.0,Quận 4,13,4.0,0,5.0,6.0,1,4/1/2026,3.0,Bình dân
5.5,275.0,20.0,Quận 4,8,3.0,0,3.3,4.0,1,4/1/2026,3.0,VIP
5.7,196.55,29.0,Quận 4,3,4.0,0,3.14,3.5,1,4/1/2026,4.0,VIP
3.5,70.0,50.0,Quận 4,1,3.0,1,4.0,2.0,0,4/1/2026,3.0,Bình dân
5.0,125.0,40.0,Quận 4,8,4.0,0,3.0,3.5,1,4/1/2026,4.0,Cao cấp
