Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets,Post_Time
7.99,28.95,276,Hóc Môn,Xuân Thới Sơn,1,1,14,1,0,26/12/2025,1,12/26/2025
7.89,82.19,96,Quận 12,Hiệp Thành,1,1,5,1,0,26/12/2025,1,12/26/2025
20,60.06,333,Quận 12,Tân Thới Nhất,2,0,14.5,2,1,26/12/2025,2,12/26/2025
58,25.47,2277,Hóc Môn,Đông Thạnh,2,1,23.5,1,0,26/12/2025,2,12/26/2025
7.48,98.42,76,Gò Vấp,1,4,1,4,4,0,25/12/2025,4,12/25/2025
5.3,106,50,Quận 7,Tân Hưng,2,0,5,2,1,25/12/2025,2,12/25/2025
24,121.21,198,Quận 9,Tăng Nhơn Phú A,4,1,7.48,2,0,25/12/2025,4,12/25/2025
5.85,132.95,44,Gò Vấp,14,2,0,4.4,3.5,1,25/12/2025,2,12/25/2025
14,102.94,136,Thủ Đức,Linh Trung,3,1,8.5,3,0,25/12/2025,5,12/25/2025
3.8,65.52,58,Quận 12,Tân Chánh Hiệp,2,0,4,2.5,1,25/12/2025,2,12/25/2025
6.35,90.71,70,Quận 12,Thạnh Lộc,3,0,4,3,1,25/12/2025,4,12/25/2025
3.5,129.63,27,Gò Vấp,17,2,0,3.65,2,1,25/12/2025,2,12/25/2025
7.1,28.4,250,Bình Tân,Tân Tạo,4,0,8,4.5,1,25/12/2025,5,12/25/2025
10.7,184.48,58,Quận 1,Bến Thành,5,0,4,2,1,25/12/2025,5,12/25/2025
4.9,38.28,128,Hóc Môn,Bà Điểm,2,0,8,1,1,25/12/2025,2,12/25/2025
7.18,115.81,62,Gò Vấp,4,4,0,4.5,4,1,28/12/2025,4,12/28/2025
16.5,44.84,368,Hóc Môn,Xuân Thới Thượng,4,1,16,1,0,28/12/2025,4,12/28/2025
7.99,110.97,72,Thủ Đức,Linh Tây,3,0,4.1,3,1,28/12/2025,3,12/28/2025
8.5,75.89,112,Quận 3,4,4,0,3.3,4,1,28/12/2025,4,12/28/2025
7.65,131.9,58,Quận 12,Tân Chánh Hiệp,4,0,4.5,4.5,1,28/12/2025,5,12/28/2025
3.2,106.67,30,Nhà Bè,Thị trấn Nhà Bè,4,0,3,3.5,1,28/12/2025,3,12/28/2025
7.15,148.96,48,Gò Vấp,11,5,0,3.7,3.5,1,28/12/2025,4,12/28/2025
12.7,218.97,58,Phú Nhuận,11,5,0,4,5,1,28/12/2025,3,12/28/2025
35,500,70,Quận 1,Cầu Ông Lãnh,5,1,4,3,0,27/12/2025,5,12/27/2025
10.65,61.92,172,Quận 10,2,4,1,4,4,0,27/12/2025,3,12/27/2025
4.2,8.75,480,Củ Chi,Tân Thông Hội,2,1,14,1,0,27/12/2025,1,12/27/2025
15.7,75.48,208,Hóc Môn,Trung Chánh,1,1,8,1,0,27/12/2025,1,12/27/2025
4.98,226.36,22,Quận 8,2,2,0,4,3.5,1,31/12/2025,2,12/31/2025
11,137.5,80,Quận 8,2,3,1,4,3,0,31/12/2025,3,12/31/2025
9.9,106.45,93,Gò Vấp,6,5,1,4,5,0,30/12/2025,6,12/30/2025
175,72.92,2400,Quận 12,Trung Mỹ Tây,2,1,32,1,0,30/12/2025,2,12/30/2025
10.5,150,70,Quận 8,8,8,1,4.6,5,0,30/12/2025,8,12/30/2025
5.9,118,50,Gò Vấp,12,4,0,5,4,1,30/12/2025,5,12/30/2025
7.99,147.96,54,Thủ Đức,Trường Thọ,4,0,4,5,1,30/12/2025,5,12/30/2025
9.6,124.68,77,Quận 8,4,1,1,4.5,1,0,30/12/2025,1,12/30/2025
6.7,148.89,45,Quận 8,6,3,0,3.2,4,1,30/12/2025,2,12/30/2025
42,201.92,208,Thủ Đức,Bình Thọ,4,1,3,1,0,30/12/2025,3,12/30/2025
38.8,207.49,187,Gò Vấp,14,3,1,7,3,0,25/12/2025,4,12/25/2025
14,64.52,217,Hóc Môn,Hóc Môn,1,1,8,1,0,25/12/2025,1,12/25/2025
5.5,91.67,60,Nhà Bè,Phú Xuân,4,0,3,3.5,1,25/12/2025,4,12/25/2025
4.1,78.85,52,Quận 9,Long Trường,2,0,4.9,2,1,25/12/2025,2,12/25/2025
4.99,110.89,45,Nhà Bè,Nhà Bè,2,0,5,2,1,25/12/2025,2,12/25/2025
17.8,183.51,97,Quận 7,Phú Mỹ,12,1,4.7,3,0,25/12/2025,12,12/25/2025
7.399,164.42,45,Quận 10,2,2,0,3,2,1,24/12/2025,2,12/24/2025
7.45,70.95,105,Bình Chánh,Bình Chánh,4,1,5,3,0,24/12/2025,4,12/24/2025
8.2,164,50,Bình Tân,Bình Hưng Hòa,3,0,3,5,1,24/12/2025,4,12/24/2025
11.8,93.65,126,Quận 8,1,5,1,7,2,0,24/12/2025,4,12/24/2025
13.45,210.16,64,Quận 10,2,5,1,4,4,0,24/12/2025,5,12/24/2025
11.5,48.94,235,Quận 12,Thới An,1,0,8.5,1,1,30/12/2025,1,12/30/2025
5.5,52.88,104,Quận 8,15,4,0,4.2,3,1,30/12/2025,3,12/30/2025
5.5,52.88,104,Quận 8,15,4,0,4.2,3,1,30/12/2025,3,12/30/2025
3.18,113.57,28,Quận 8,5,2,0,3.5,2,1,30/12/2025,2,12/30/2025
55,55,1000,Quận 12,Thạnh Lộc,1,1,13,1,0,30/12/2025,1,12/30/2025
13.7,68.5,200,Quận 12,Thới An,4,1,20,4,0,30/12/2025,4,12/30/2025
5.6,73.68,76,Quận 12,Thạnh Lộc,4,0,5,2,1,30/12/2025,4,12/30/2025
4.79,106.44,45,Gò Vấp,14,2,1,4.2,2,0,30/12/2025,2,12/30/2025
5.8,111.54,52,Thủ Đức,Linh Đông,4,0,4,3,1,30/12/2025,5,12/30/2025
15,147.06,102,Thủ Đức,Hiệp Bình Chánh,4,1,4.4,5.5,0,30/12/2025,5,12/30/2025
16.5,232.39,71,Phú Nhuận,17,11,0,4,5,1,29/12/2025,11,12/29/2025
11,282.05,39,Tân Bình,10,3,1,4.1,3.5,0,29/12/2025,2,12/29/2025
8.9,158.93,56,Gò Vấp,5,4,0,4,4.5,1,27/12/2025,5,12/27/2025
