Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
185.0,1088.24,170.0,quan-1,Bến Thành,20,1,8.5,1.0,0,26/12/2023,20
82.0,529.03,155.0,quan-1,Nguyễn Thái Bình,8,1,8.2,5.0,0,26/12/2023,8
28.0,280.0,100.0,quan-6,12,5,1,5.0,5.0,0,13/12/2025,3
6.0,85.71,70.0,quan-4,4,3,0,5.0,1.0,1,10/11/2023,1
3.2,94.12,34.0,quan-4,16,2,0,3.6,1.0,1,10/11/2023,2
12.0,235.29,51.0,quan-4,14,3,0,3.8,1.0,1,10/11/2023,3
4.8,60.0,80.0,quan-4,08,4,0,4.0,1.0,1,10/11/2023,4
3.9,84.78,46.0,quan-4,6,2,0,2.9,1.0,1,10/11/2023,2
3.3,143.48,23.0,quan-4,6,2,0,3.0,1.0,1,10/11/2023,3
3.9,114.71,34.0,quan-4,13,2,0,4.0,1.0,1,10/11/2023,3
3.6,120.0,30.0,quan-4,9,2,0,4.5,1.0,1,10/11/2023,2
3.88,215.56,18.0,quan-4,4,3,0,2.5,1.0,1,10/11/2023,4
17.5,218.75,80.0,quan-5,4,4,1,4.0,1.0,0,14/06/2023,3
8.0,76.19,105.0,quan-4,03,3,0,5.5,1.0,1,10/11/2023,3
54.2,70.03,774.0,quan-2,Thảo Điền,0,0,24.0,1.0,1,08/07/2024,0
100.0,869.57,115.0,quan-3,5,0,0,7.0,1.0,1,25/12/2024,3
75.0,438.6,171.0,quan-4,6,2,0,9.0,1.0,1,25/12/2024,2
100.0,241.55,414.0,quan-3,7,3,0,15.0,1.0,1,25/12/2024,3
7.5,144.23,52.0,quan-6,14,6,1,4.0,3.0,0,13/12/2025,3
13.8,170.37,81.0,quan-6,13,6,1,10.0,5.0,0,13/12/2025,3
9.35,146.09,64.0,quan-6,13,6,1,9.0,5.0,0,13/12/2025,3
17.0,170.0,100.0,quan-6,13,6,1,4.0,5.0,0,13/12/2025,3
5.29,69.61,76.0,quan-4,4,3,1,44.0,3.0,0,16/08/2022,3
18.0,204.55,88.0,quan-6,5,4,1,7.0,3.0,0,Hôm qua,4
7.48,213.71,35.0,quan-4,4,4,0,5.0,5.0,1,16/08/2022,4
4.29,107.25,40.0,quan-4,6,4,0,4.5,1.0,1,16/08/2022,4
4.25,118.06,36.0,quan-4,6,4,0,4.3,4.0,1,16/08/2022,4
4.25,118.06,36.0,quan-4,9,4,0,4.3,4.0,1,16/08/2022,4
24.0,400.0,60.0,quan-4,4,4,1,4.0,4.0,0,30/12/2022,4
13.7,169.14,81.0,quan-6,13,6,1,10.0,5.0,0,13/12/2025,3
10.8,180.0,60.0,quan-6,13,6,1,4.0,2.0,0,13/12/2025,3
4.7,134.29,35.0,quan-4,4,3,0,2.0,3.0,1,16/08/2022,3
8.8,88.0,100.0,quan-5,1,5,0,4.0,4.0,1,27/05/2023,4
14.0,175.0,80.0,quan-6,11,6,1,4.0,5.0,0,13/12/2025,3
12.9,161.25,80.0,quan-6,10,6,1,44.0,5.0,0,13/12/2025,3
28.5,395.83,72.0,quan-4,6,0,0,4.0,6.0,1,10/12/2022,0
27.0,375.0,72.0,quan-3,4,3,0,6.0,4.0,1,05/11/2025,4
76.0,265.73,286.0,quan-5,10,20,1,12.0,1.0,0,15/08/2023,20
29.9,373.75,80.0,quan-4,12,4,0,4.0,4.0,1,27/08/2022,4
6.8,194.29,35.0,quan-4,4,5,0,35.0,4.0,1,22/09/2022,3
35.9,159.56,225.0,quan-1,Phạm Ngũ Lão,0,0,9.0,1.0,1,16/01/2024,0
37.0,237.18,156.0,quan-1,Đa Kao,0,0,7.8,1.0,1,16/01/2024,0
35.0,224.36,156.0,quan-1,Đa Kao,0,0,7.8,1.0,1,16/01/2024,0
32.0,116.36,275.0,quan-1,Đa Kao,0,0,11.0,1.0,1,16/01/2024,0
48.0,444.44,108.0,quan-4,6,0,1,6.0,7.0,0,01/02/2023,0
45.0,416.67,108.0,quan-4,6,6,0,6.0,7.0,1,05/11/2025,7
52.0,162.5,320.0,quan-6,11,6,1,16.0,5.0,0,13/12/2025,3
16.2,238.24,68.0,quan-4,3,6,0,4.0,1.0,1,19/10/2022,7
43.2,400.0,108.0,quan-4,6,10,0,6.0,1.0,1,19/10/2022,10
25.2,350.0,72.0,quan-4,6,9,1,4.0,1.0,0,19/10/2022,10
22.5,351.56,64.0,quan-4,4,2,1,4.0,1.0,0,19/10/2022,3
28.8,165.52,174.0,quan-4,15,4,1,8.5,1.0,0,19/10/2022,3
18.0,253.52,71.0,quan-4,12,2,1,4.4,1.0,0,09/01/2023,2
43.0,141.91,303.0,quan-4,2,2,1,11.0,1.0,0,19/10/2022,2
19.9,221.11,90.0,quan-6,11,6,1,5.0,5.0,0,13/12/2025,3
350.0,804.6,435.0,quan-3,6,2,0,16.0,12.0,1,13/12/2025,12
2.0,111.11,18.0,quan-4,16,2,0,3.4,1.0,1,10/11/2023,2
8.3,83.0,100.0,quan-8,16,5,1,5.0,3.0,0,27/08/2025,5
39.0,128.71,303.0,quan-4,2,8,0,11.0,1.0,1,02/01/2023,8
4.7,188.0,25.0,quan-4,4,2,0,4.0,1.0,1,24/01/2023,2
8.0,222.22,36.0,quan-3,10,3,0,3.0,4.0,1,17/03/2025,3
52.0,590.91,88.0,quan-5,4,6,1,6.0,1.0,0,28/07/2023,6
12.5,250.0,50.0,quan-4,10,3,1,9.0,1.0,0,29/01/2023,3
22.5,312.5,72.0,quan-4,3,8,1,4.0,5.0,0,28/07/2023,8
39.0,520.0,75.0,quan-4,6,10,1,4.63,5.0,0,28/07/2023,10
15.99,145.36,110.0,quan-2,Bình An,5,0,8.0,1.0,1,04/12/2024,5
