Price_Billion,Area_m2,District,Ward,Floors,Bedrooms,Toilets,Post_Time
32,927,Quận 12,Phường Thạnh Lộc,4,2,2,31/12/2025
185,8.131,Huyện Hóc Môn,Xã Tân Hiệp,1,0,0,31/12/2025
115,1.723,Huyện Hóc Môn,Xã Tân Xuân,3,0,0,31/12/2025
23,176,Quận 12,Phường Tân Thới Nhất,4,0,0,31/12/2025
25,330,Quận Gò Vấp,Phường 5,4,0,0,31/12/2025
34,150,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
12.8,211,Quận Gò Vấp,Phường 7,3,0,0,31/12/2025
13.5,147,Quận Gò Vấp,Phường 11,5,0,0,31/12/2025
5.1,19,Quận 10,Phường 2,3,0,0,31/12/2025
4.75,81,Quận 12,Phường Thạnh Lộc,4,2,0,31/12/2025
5,93,Quận 12,Phường Thạnh Xuân,1,0,0,31/12/2025
24,133,Quận Gò Vấp,Phường 16,1,0,0,31/12/2025
27,310,Quận Gò Vấp,Phường 17,3,0,0,31/12/2025
18,141,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
36.5,423,Quận Gò Vấp,Phường 17,5,0,0,31/12/2025
14.5,150,Quận Gò Vấp,Phường 7,1,0,0,31/12/2025
7.286,144,Quận Gò Vấp,Phường 12,5,0,0,31/12/2025
13.5,278,Quận Gò Vấp,Phường 12,4,0,0,31/12/2025
23,155,Quận Phú Nhuận,Phường 10,5,0,0,31/12/2025
11.4,100,Quận Gò Vấp,Phường 14,1,0,0,31/12/2025
6.4,63,Thành phố Thủ Đức,Phường Long Bình,4,0,0,31/12/2025
9,95,Quận Tân Phú,Phường Phú Trung,1,0,0,31/12/2025
4.78,32,Quận 8,Phường 10,3,0,0,31/12/2025
7,53,Quận 4,Phường 13,1,2,1,31/12/2025
3.7,28,Quận 10,Phường 3,3,2,1,31/12/2025
23.8,102,Quận Gò Vấp,Phường 4,2,7,7,31/12/2025
12.5,61,Quận Gò Vấp,Phường 15,2,3,3,31/12/2025
9,46,Quận 10,Phường 4,3,0,0,31/12/2025
6.5,64,Quận Bình Thạnh,Phường 17,2,0,0,31/12/2025
3.5,28,Quận Bình Thạnh,Phường 13,3,3,2,31/12/2025
6.8,76,Quận 8,Phường 3,5,4,4,31/12/2025
5.1,62,Quận Tân Phú,Phường Phú Thọ Hòa,2,4,4,31/12/2025
8.7,72,Quận Bình Thạnh,Phường 25,4,4,4,31/12/2025
12,40,Quận 8,Phường 5,1,4,4,31/12/2025
5.5,60,Quận Bình Thạnh,Phường 26,3,1,0,31/12/2025
3.3,32,Quận Gò Vấp,Phường 3,3,0,0,31/12/2025
7.35,105,Thành phố Thủ Đức,Phường Trường Thọ,2,0,0,31/12/2025
5.58,23,Quận Tân Phú,Phường Phú Thạnh,1,0,1,31/12/2025
7.5,75,Quận Tân Phú,Phường Tân Thới Hòa,4,3,0,31/12/2025
16.5,163,Quận Tân Phú,Phường Phú Thọ Hòa,2,0,0,31/12/2025
8.4,54,Quận Tân Phú,Phường Phú Thạnh,2,4,5,31/12/2025
3.18,24,Quận Tân Phú,Phường Tân Sơn Nhì,3,0,0,31/12/2025
8.8,65,Quận Tân Phú,Phường Phú Thọ Hòa,5,9,0,31/12/2025
13.5,80,Quận Tân Phú,Phường Tây Thạnh,5,0,0,31/12/2025
20,105,Quận Tân Phú,Phường Tân Sơn Nhì,3,0,0,31/12/2025
3.6,30,Quận Tân Phú,Phường Tân Sơn Nhì,4,1,2,31/12/2025
5.78,48,Quận Tân Phú,Phường Tân Sơn Nhì,2,3,2,31/12/2025
9.7,75,Quận Tân Phú,Phường Phú Thạnh,3,0,0,31/12/2025
3.8,30,Quận Tân Phú,Phường Tân Sơn Nhì,1,2,0,31/12/2025
6.98,64,Quận Tân Phú,Phường Phú Thọ Hòa,2,3,3,31/12/2025
9.95,41,Quận Tân Phú,Phường Phú Thọ Hòa,2,5,6,31/12/2025
3.6,29,Quận Tân Phú,Phường Tân Quý,2,2,0,31/12/2025
8.2,57,Quận Tân Phú,Phường Phú Thạnh,6,0,0,31/12/2025
4.9,28,Quận Tân Phú,Phường Tây Thạnh,6,4,3,31/12/2025
9.45,70,Quận Tân Phú,Phường Tân Sơn Nhì,5,5,0,31/12/2025
10.7,74,Quận Tân Phú,Phường Tân Thới Hòa,2,0,0,31/12/2025
5.95,42,Quận Tân Phú,Phường Phú Thạnh,2,4,0,31/12/2025
10.8,90,Quận Tân Phú,Phường Tây Thạnh,4,4,5,31/12/2025
5.5,27,Quận Tân Phú,Phường Phú Thọ Hòa,4,2,3,31/12/2025
8.65,55,Quận Tân Phú,Phường Tây Thạnh,2,3,0,31/12/2025
4.2,42,Quận Tân Phú,Phường Tân Thới Hòa,4,2,3,31/12/2025
18.5,60,Quận 1,Phường Tân Định,3,0,0,31/12/2025
8.5,56,Quận Tân Phú,Phường Phú Thọ Hòa,2,0,0,31/12/2025
11,64,Quận Tân Phú,Phường Tân Sơn Nhì,6,5,0,31/12/2025
7.3,77,Quận Tân Phú,Phường Tây Thạnh,4,4,4,31/12/2025
5.6,43,Quận Tân Phú,Phường Tây Thạnh,3,0,0,31/12/2025
15,82,Quận Tân Phú,Phường Phú Trung,2,5,6,31/12/2025
3.95,32,Quận Tân Phú,Phường Tân Sơn Nhì,2,2,2,31/12/2025
9.3,71,Quận Tân Phú,Phường Tân Sơn Nhì,2,4,4,31/12/2025
10.5,65,Quận Tân Phú,Phường Hòa Thạnh,1,0,0,31/12/2025
7,97,Quận Tân Phú,Phường Tân Quý,5,0,0,31/12/2025
5.3,47,Quận Tân Phú,Phường Hòa Thạnh,4,2,0,31/12/2025
7.5,48,Quận Tân Phú,Phường Phú Thọ Hòa,3,4,0,31/12/2025
3.65,35,Quận Tân Phú,Phường Phú Thọ Hòa,4,2,2,31/12/2025
7.5,58,Quận Tân Phú,Phường Hòa Thạnh,3,2,0,31/12/2025
8.9,70,Quận Tân Phú,Phường Phú Thạnh,1,0,0,31/12/2025
8.7,55,Quận Tân Phú,Phường Phú Thọ Hòa,3,0,0,31/12/2025
13,140,Quận Tân Phú,Phường Tây Thạnh,2,28,0,31/12/2025
5.25,38,Quận Tân Phú,Phường Phú Trung,2,3,1,31/12/2025
9.4,83,Quận Tân Phú,Phường Hiệp Tân,1,0,0,31/12/2025
5.5,36,Quận Tân Phú,Phường Tân Sơn Nhì,2,0,0,31/12/2025
8.2,67,Quận Tân Phú,Phường Phú Thọ Hòa,2,0,0,31/12/2025
6.6,57,Quận Tân Phú,Phường Tân Sơn Nhì,2,6,0,31/12/2025
12.3,72,Quận Tân Phú,Phường Phú Thạnh,2,4,2,31/12/2025
9,81,Quận Tân Phú,Phường Tân Sơn Nhì,3,3,4,31/12/2025
10,36,Quận Tân Phú,Phường Tây Thạnh,5,3,3,31/12/2025
6.5,48,Quận Tân Phú,Phường Phú Thạnh,2,5,0,31/12/2025
8.2,51,Quận Tân Phú,Phường Tân Sơn Nhì,2,0,0,31/12/2025
9.8,59,Quận Tân Phú,Phường Tân Thành,4,3,3,31/12/2025
10.5,115,Quận Tân Phú,Phường Phú Thạnh,3,0,0,31/12/2025
9,53,Quận Tân Phú,Phường Phú Thạnh,2,0,0,31/12/2025
5,33,Quận Tân Phú,Phường Phú Thọ Hòa,4,2,0,31/12/2025
13.2,69,Quận Tân Phú,Phường Hiệp Tân,3,3,2,31/12/2025
4.6,48,Quận Tân Phú,Phường Phú Thạnh,1,0,2,31/12/2025
3.5,26,Quận Tân Phú,Phường Tân Sơn Nhì,5,2,0,31/12/2025
10.5,112,Quận Tân Phú,Phường Phú Thọ Hòa,1,0,0,31/12/2025
10,60,Quận Tân Phú,Phường Hòa Thạnh,2,4,0,31/12/2025
6.5,45,Quận Tân Phú,Phường Tân Quý,1,4,0,31/12/2025
6.8,36,Quận Tân Phú,Phường Phú Thọ Hòa,6,3,0,31/12/2025
8.2,58,Quận Tân Phú,Phường Phú Thọ Hòa,1,0,0,31/12/2025
7.9,61,Quận Tân Phú,Phường Phú Thạnh,2,4,5,31/12/2025
9.65,60,Quận Tân Phú,Phường Tân Sơn Nhì,4,0,0,31/12/2025
7.5,48,Quận Tân Phú,Phường Tân Sơn Nhì,1,4,3,31/12/2025
5.2,44,Quận Tân Phú,Phường Phú Thạnh,1,2,2,31/12/2025
6.6,54,Quận Tân Phú,Phường Tân Quý,3,0,0,31/12/2025
2.8,22,Quận Bình Thạnh,Phường 1,2,0,0,31/12/2025
12,71,Quận Tân Phú,Phường Phú Thọ Hòa,6,0,0,31/12/2025
5.35,44,Quận Tân Phú,Phường Phú Thọ Hòa,2,2,0,31/12/2025
5.8,56,Quận Tân Phú,Phường Tây Thạnh,1,3,2,31/12/2025
6.3,36,Quận Tân Phú,Phường Hiệp Tân,2,0,0,31/12/2025
4.4,50,Quận Gò Vấp,Phường 1,3,4,3,31/12/2025
4.8,36,Quận 3,Phường 11,3,2,2,31/12/2025
7.2,61,Quận Bình Thạnh,Phường 7,5,0,0,31/12/2025
7.85,109,Quận 12,Phường Thạnh Xuân,2,0,0,31/12/2025
4.4,32,Quận Phú Nhuận,Phường 4,3,2,2,31/12/2025
6.999,51,Quận 4,Phường 4,2,4,2,31/12/2025
6.68,68,Quận Bình Thạnh,Phường 11,4,4,3,31/12/2025
13.65,68,Quận Tân Bình,Phường 4,2,6,0,31/12/2025
1.8,12,Quận Gò Vấp,Phường 3,2,2,0,31/12/2025
11.2,72,Quận 1,Phường Tân Định,1,0,0,31/12/2025
5.1,44,Quận Gò Vấp,Phường 5,1,3,2,31/12/2025
9.5,30,Quận 1,Phường Bến Nghé,3,0,0,31/12/2025
1.9,18,Quận Bình Thạnh,Phường 1,4,0,0,31/12/2025
6.9,40,Quận 7,Phường Tân Hưng,4,4,5,31/12/2025
6,101,Quận Gò Vấp,Phường 5,3,0,0,31/12/2025
3.7,36,Quận Gò Vấp,Phường 3,2,2,3,31/12/2025
5.6,54,Quận 10,Phường 12,1,0,0,31/12/2025
13.5,64,Quận 8,Phường 6,4,5,6,31/12/2025
11.4,87,Quận Tân Bình,Phường 2,3,0,0,31/12/2025
5.6,48,Quận Phú Nhuận,Phường 5,4,0,0,31/12/2025
3.8,30,Quận Gò Vấp,Phường 7,4,0,0,31/12/2025
2.8,24,Quận Phú Nhuận,Phường 15,5,2,0,31/12/2025
2.55,24,Quận Gò Vấp,Phường 1,1,0,0,31/12/2025
5.9,72,Quận 7,Phường Phú Thuận,1,0,0,31/12/2025
4.45,39,Quận 10,Phường 14,1,0,0,31/12/2025
8.2,81,Quận Tân Bình,Phường 3,1,0,0,31/12/2025
5.95,48,Quận Bình Thạnh,Phường 11,4,0,0,31/12/2025
9,138,Quận 8,Phường 5,1,0,0,31/12/2025
6.9,56,Quận Tân Phú,Phường Phú Thọ Hòa,1,0,0,31/12/2025
6.7,63,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
6.8,62,Quận Tân Phú,Phường Tân Quý,2,0,0,31/12/2025
6.7,68,Quận Bình Tân,Phường Bình Hưng Hòa,3,4,5,31/12/2025
4.7,40,Quận Tân Phú,Phường Phú Thọ Hòa,3,2,1,31/12/2025
6.9,59,Quận Tân Phú,Phường Sơn Kỳ,2,0,0,31/12/2025
5.1,44,Quận Tân Phú,Phường Tân Quý,3,0,0,31/12/2025
5.6,25,Quận Tân Phú,Phường Tân Sơn Nhì,3,3,0,31/12/2025
5.8,74,Quận Bình Tân,Phường Bình Hưng Hòa,2,2,0,31/12/2025
3.9,43,Quận Bình Tân,Phường Bình Hưng Hòa,6,2,0,31/12/2025
4.9,45,Quận Tân Phú,Phường Sơn Kỳ,2,2,0,31/12/2025
7.1,75,Quận Bình Tân,Phường Bình Hưng Hòa A,3,4,5,31/12/2025
7.2,52,Quận Bình Tân,Phường Bình Hưng Hòa A,4,4,0,31/12/2025
6.5,64,Quận Bình Tân,Phường Bình Hưng Hòa B,3,9,0,31/12/2025
4.7,56,Quận Tân Phú,Phường Phú Thạnh,1,6,0,31/12/2025
6.4,70,Quận Bình Tân,Phường Bình Hưng Hòa B,1,6,0,31/12/2025
5.8,50,Quận Bình Tân,Phường Bình Hưng Hòa A,5,4,0,31/12/2025
