Price_Billion,Price_Per_m2,Area_m2,District,Ward,Bedrooms,Is_MatTien,Width_m,Floors,Is Hem,Post Time,Toilets
16.99,212.38,80,Quận 12,Tân Thới Hiệp,5,0,5,3.5,1,18/11/2025,5
5.6,127.27,44,Quận 8,11,2,1,2.9,2,0,16/12/2025,3
24,121.21,198,Quận 9,Tăng Nhơn Phú A,4,1,7.48,2,0,4/12/2025,4
12,150,80,Quận 7,Tân Quy,2,1,4,3,0,18/11/2025,3
11.1,179.03,62,Quận 7,Tân Thuận Tây,2,1,5.34,1,0,21/11/2025,0
5.99,88.09,68,Quận 8,7,3,1,10,2.5,0,14/10/2025,2
12,80,150,Quận 2,Thạnh Mỹ Lợi,2,1,4.5,1,0,16/12/2025,2
13.5,112.5,120,Quận 12,Thới An,4,1,5,4.5,0,14/11/2025,5
16.8,210,80,Quận 7,Tân Quy,6,1,15,6,0,14/11/2025,7
12.45,155.62,80,Quận 12,Trung Mỹ Tây,8,1,4,7,0,21/11/2025,9
350,350,1000,Quận 2,Thảo Điền,0,1,22,3.5,0,13/10/2025,8
12.9,107.5,120,Quận 12,Thới An,4,1,5,4.5,0,2/12/2025,5
9.5,101.06,94,Quận 7,Tân Phong,2,0,25,1,1,15/12/2025,2
500,307.69,1625,Quận 2,Thảo Điền,8,1,35,2,0,13/10/2025,0
15,93.75,160,Quận 7,Phú Thuận,5,0,5,1,1,15/12/2025,0
14.95,93.44,160,Quận 12,Tân Chánh Hiệp,6,1,10,4.5,0,18/11/2025,6
10.2,102,100,Quận 12,Hiệp Thành,5,1,5,4.5,0,17/11/2025,5
2.9,90.62,32,Quận 12,Tân Thới Hiệp,2,0,4,1.5,1,22/10/2025,2
10.8,144,75,Quận 2,Cát Lái,3,1,4,3.5,0,24/11/2025,0
21,196.26,107,Quận 2,An Phú,6,0,6,4,1,11/10/2025,0
1.34,9.85,136,Quận 12,Tân Thới Nhất,3,1,3,3,0,13/11/2025,4
11,58.82,187,Quận 8,7,7,0,8.5,3.5,1,17/11/2025,6
7.8,134.48,58,Quận 8,1,3,1,6,2,0,13/11/2025,3
20,51.28,390,Quận 9,Phước Long A,5,0,20,2,1,10/11/2025,5
15,93.75,160,Quận 7,Phú Thuận,5,0,5,1,1,23/11/2025,0
9.45,192.86,49,Quận 7,Tân Quy,3,1,3.5,2,0,13/11/2025,0
8.5,151.79,56,Quận 12,An Phú Đông,4,1,12,5,0,20/10/2025,0
5.45,50.46,108,Quận 12,Tân Thới Hiệp,2,1,4,1,0,27/11/2025,1
22.3,242.39,92,Quận 7,Tân Thuận Tây,0,1,4,5,0,13/11/2025,7
6,120,50,Quận 8,16,4,1,4,3,0,26/11/2025,5
36,327.27,110,Quận 2,Thảo Điền,0,1,10,3,0,11/10/2025,4
8.8,53.33,165,Quận 12,Tân Chánh Hiệp,6,0,4,4.5,1,19/10/2025,0
6,120,50,Quận 8,16,4,1,4,3,0,26/11/2025,0
220,412.76,533,Quận 2,Thảo Điền,5,0,34,2,1,6/10/2025,7
6,120,50,Quận 8,16,4,1,4,3,0,26/11/2025,0
13.4,98.53,136,Quận 12,Tân Thới Nhất,3,1,8.5,3,0,23/11/2025,4
8,86.96,92,Quận 12,Trung Mỹ Tây,5,1,10,3,0,23/11/2025,5
76.7,163.54,469,Quận 2,Thảo Điền,4,0,4,4,1,19/11/2025,0
4.9,39.2,125,Quận 9,Long Bình,2,1,4,2,0,25/11/2025,0
14.75,78.04,189,Quận 12,Tân Chánh Hiệp,2,0,8,2,1,25/11/2025,2
76.8,163.75,469,Quận 2,An Phú,4,0,21,4,1,19/11/2025,5
69,227.72,303,Quận 2,Thảo Điền,5,1,14,4,0,9/11/2025,0
15,93.75,160,Quận 7,Phú Thuận,5,0,5,1,1,12/11/2025,0
38,441.86,86,Quận 10,2,6,1,6,4,0,1/10/2025,4
8.9,202.27,44,Quận 6,12,4,1,3.7,4,0,9/10/2025,4
12.3,128.12,96,Quận 7,Tân Thuận Đông,4,1,4,3.5,0,21/11/2025,0
35,388.89,90,Quận 10,2,4,1,4.6,3,0,25/09/2025,3
14.5,190.79,76,Quận 9,Phú Hữu,3,1,30,4,0,1/10/2025,0
17,425,40,Quận 1,Đa Kao,4,1,4,3,0,25/09/2025,3
8.3,207.5,40,Quận 10,2,3,0,8,5,1,10/9/2025,4
24,143.71,167,Quận 7,Phú Thuận,3,1,4.15,1,0,11/9/2025,0
39,629.03,62,Quận 1,Cầu Ông Lãnh,2,1,5,2,0,10/9/2025,2
6.5,70.65,92,Quận 12,Tân Thới Hiệp,2,0,5.5,2,1,23/09/2025,2
27.5,152.78,180,Quận 7,Tân Thuận Tây,0,1,5.2,5,0,27/09/2025,18
70,291.67,240,Quận 6,11,36,1,12,6,0,21/09/2025,0
14.7,113.08,130,Quận 9,Phước Long B,4,1,3,3,0,11/9/2025,3
27,428.57,63,Quận 3,2,4,1,3.4,4,0,25/09/2025,4
11.6,89.23,130,Quận 9,Tăng Nhơn Phú B,5,1,4,3,0,18/09/2025,4
21,256.1,82,Quận 5,7,10,1,4,6,0,10/9/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
72,219.51,328,Quận 2,Thảo Điền,12,1,9,2,0,27/09/2025,7
115,489.36,235,Quận 11,15,2,1,11.9,2,0,18/09/2025,2
11,196.43,56,Quận 7,Tân Quy,2,1,4,4,0,16/09/2025,0
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
46,389.83,118,Quận 9,Long Thạnh Mỹ,4,1,6.25,3,0,23/09/2025,0
7.99,87.8,91,Quận 9,Tăng Nhơn Phú B,3,1,5.2,3,0,20/09/2025,0
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
14.6,141.75,103,Quận 2,An Phú,2,1,9,1,0,10/9/2025,1
40,459.77,87,Quận 1,Cô Giang,10,1,4.6,6,0,18/09/2025,6
22.9,558.54,41,Quận 3,1,4,1,5,3,0,24/09/2025,3
10.7,113.83,94,Quận 9,Phước Bình,3,1,4,3,0,10/9/2025,3
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
75,750,100,Quận 1,Đa Kao,2,1,6,2,0,24/09/2025,2
21,175,120,Quận 2,An Phú,5,0,4.5,1,1,23/09/2025,6
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
79,626.98,126,Quận 3,7,12,1,10,7,0,24/09/2025,7
25,490.2,51,Quận 5,9,6,1,3.7,4,0,11/9/2025,4
14.9,149,100,Quận 2,An Phú,1,1,4,2,0,24/09/2025,2
38,205.41,185,Quận 6,11,10,1,8.4,6,0,24/09/2025,6
21.5,179.17,120,Quận 6,10,4,1,5,4,0,9/9/2025,0
10,133.33,75,Quận 9,Phước Long B,3,1,5,1,0,20/09/2025,4
12.5,39.56,316,Quận 12,Thạnh Xuân,3,1,4.5,2,0,14/09/2025,3
16,141.59,113,Quận 8,10,1,1,5,2,0,24/09/2025,1
4.3,59.72,72,Quận 12,Hiệp Thành,2,1,4,1,0,26/09/2025,0
39,629.03,62,Quận 1,Cầu Ông Lãnh,2,1,5,2,0,18/09/2025,2
17,175.26,97,Quận 2,An Phú,2,1,4,1,0,11/9/2025,1
14.5,181.25,80,Quận 7,Tân Phong,5,1,4,4,0,9/9/2025,4
21,259.26,81,Quận 3,5,15,1,4,5,0,29/09/2025,0
37,637.93,58,Quận 3,4,7,1,4.9,5,0,29/09/2025,0
26.5,456.9,58,Quận 3,2,4,1,4,3,0,11/9/2025,3
1.7,15.45,110,Quận 12,Thạnh Lộc,8,1,5.3,5.5,0,29/09/2025,9
23.2,210.91,110,Quận 1,Bến Nghé,5,1,4.2,1,0,18/09/2025,0
46,605.26,76,Quận 1,Cầu Ông Lãnh,12,1,4,7,0,18/09/2025,7
27,385.71,70,Quận 1,Tân Định,14,1,3.7,8,0,24/09/2025,7
405,451.51,897,Quận 2,Bình An,7,1,20,2,0,9/9/2025,7
12.9,103.2,125,Quận 12,Trung Mỹ Tây,5,1,5.07,4.5,0,10/9/2025,5
48,648.65,74,Quận 1,Phạm Ngũ Lão,10,1,4,6,0,24/09/2025,6
